INDEX,CARD,CLA1,CLA2,SCA1,SCA2,SCA3,PUR1,PUR2,PUR3,CUL1,CUL2,CUL3,USA1,USA2,USA3,ADD1,ADD2,ADD3,PRICE,Y,Cluster
36,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,4,0
36,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,2,0
36,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,4,0
38,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,2,4,0
38,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,3,4,0
38,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,3,0
38,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,3,5,0
38,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,2,6,0
38,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,3,4,0
38,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,2,5,0
38,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,5,0
38,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,2,4,0
38,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,3,5,0
38,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,4,0
38,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,3,5,0
38,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,5,0
38,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,2,6,0
38,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,2,0
38,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,5,0
38,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,4,0
38,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,5,0
40,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,2,4,1
40,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,3,5,1
40,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,7,1
40,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,3,7,1
40,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,2,4,1
40,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,3,5,1
40,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,2,5,1
40,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,5,1
40,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,2,7,1
40,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,3,6,1
40,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,7,1
40,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,3,4,1
40,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,4,1
40,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,2,5,1
40,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,6,1
40,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,4,1
40,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,4,1
40,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,5,1
51,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,2,5,1
51,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,3,7,1
51,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,7,1
51,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,3,8,1
51,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,2,2,1
51,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,3,3,1
51,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,2,6,1
51,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,2,1
51,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,2,9,1
51,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,3,3,1
51,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,5,1
51,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,3,2,1
51,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,3,1
51,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,2,3,1
51,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,9,1
51,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,4,1
