INDEX,CARD,BIO1,BIO2,BIO3,SCA1,SCA2,SCA3,KNO1,KNO2,KNO3,USE1,USE2,USE3,MET1,MET2,ANA1,ANA2,PRICE,Y,Cluster
37,3,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,7,0
37,4,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,3,4,0
37,5,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,2,3,0
37,6,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,2,3,0
37,7,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,2,0
37,8,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,2,0
37,9,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,6,0
37,10,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,5,0
37,11,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,2,0
37,12,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,2,3,0
37,13,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,3,3,0
37,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,3,3,0
37,15,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,2,2,0
37,16,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,3,2,0
37,17,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,3,4,0
37,18,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,2,3,0
39,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,3,5,1
39,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,2,8,1
39,3,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,8,1
39,4,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,3,5,1
39,5,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,2,10,1
39,6,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,2,10,1
39,7,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,10,1
