INDEX,CARD,CLA1,CLA2,SCA1,SCA2,SCA3,PUR1,PUR2,PUR3,CUL1,CUL2,CUL3,USA1,USA2,USA3,ADD1,ADD2,ADD3,PRICE,Y
38,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,100000,5
38,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,150000,6
38,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,100000,2
38,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,100000,5
38,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,200000,4
38,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,100000,5
40,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,150000,4
40,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,200000,5
40,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,100000,7
40,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,200000,7
40,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,150000,4
40,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,200000,5
40,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,150000,5
40,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,150000,5
40,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,150000,7
40,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,200000,6
40,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,100000,7
40,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,200000,4
40,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,100000,4
40,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,150000,5
40,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,100000,6
40,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,100000,4
40,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,200000,4
40,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,100000,5
51,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,150000,5
51,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,200000,7
51,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,100000,7
51,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,200000,8
51,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,150000,2
51,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,200000,3
51,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,150000,6
51,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,150000,2
51,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,150000,9
51,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,200000,3
51,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,100000,5
51,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,200000,2
51,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,100000,3
51,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,150000,3
51,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,100000,9
51,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,100000,4
51,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,200000,5
51,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,100000,6
52,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,150000,2
52,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,200000,8
52,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,100000,8
52,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,200000,1
52,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,150000,1
52,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,200000,1
52,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,150000,1
52,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,150000,8
52,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,150000,1
52,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,200000,8
52,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,100000,8
52,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,200000,8
52,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,100000,8
52,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,150000,8
52,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,100000,3
52,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,100000,1
52,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,200000,2
52,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,100000,1
55,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,150000,5
55,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,200000,10
55,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,100000,6
55,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,200000,6
55,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,150000,5
55,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,200000,5
55,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,150000,4
55,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,150000,5
55,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,150000,10
55,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,200000,6
55,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,100000,4
55,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,200000,4
55,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,100000,3
55,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,150000,3
55,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,100000,7
55,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,100000,3
55,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,200000,4
55,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,100000,4
57,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,150000,6
57,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,200000,4
57,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,100000,7
57,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,200000,9
57,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,150000,3
57,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,200000,9
57,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,150000,7
57,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,150000,7
57,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,150000,5
57,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,200000,1
57,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,100000,3
57,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,200000,5
57,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,100000,5
57,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,150000,9
