BIO1,BIO2,BIO3,SCA1,SCA2,SCA3,KNO1,KNO2,KNO3,USE1,USE2,USE3,MET1,MET2,ANA1,ANA2,PRICE
-0.6194968553459113,0.0,0.0,0.0,-0.18553459119496749,0.0,0.0,0.07389937106918243,0.0,-0.08647798742138357,0.0,0.0,0.0,0.6965408805031454,0.0,0.6729559748427685,-7.550239201290198e-07
-0.6194968553459146,0.0,0.0,0.0,-0.1855345911949689,0.0,0.0,0.07389937106918154,0.0,0.0,-0.06289308176100594,0.0,-0.6965408805031443,0.0,-0.6729559748427667,0.0,-7.550239200865883e-07
-0.6194968553459127,0.0,0.0,0.0,-0.18553459119496862,0.0,0.0,0.07389937106918354,0.0,0.0,-0.06289308176100694,0.0,-0.6965408805031437,0.0,0.0,0.6729559748427687,-7.550239201413835e-07
-0.6194968553459124,0.0,0.0,0.0,-0.18553459119496912,0.0,0.0,0.07389937106918154,0.0,0.0,-0.06289308176100639,0.0,0.0,0.6965408805031446,-0.6729559748427666,0.0,-7.550239201281974e-07
-0.6194968553459124,0.0,0.0,0.0,-0.1855345911949684,0.0,0.0,0.07389937106917954,0.0,0.0,-0.06289308176100661,0.0,0.0,0.6965408805031446,0.0,0.672955974842768,-7.55023920195035e-07
-0.6194968553459125,0.0,0.0,0.0,-0.18553459119496918,0.0,0.0,0.0738993710691811,0.0,0.0,0.0,0.14937106918239057,-0.6965408805031443,0.0,-0.6729559748427669,0.0,-7.550239200725304e-07
-0.6194968553459117,0.0,0.0,0.0,-0.18553459119496943,0.0,0.0,0.07389937106917999,0.0,0.0,0.0,0.14937106918239063,-0.6965408805031442,0.0,0.0,0.6729559748427683,-7.550239201234804e-07
-0.6194968553459133,0.0,0.0,0.0,-0.18553459119496835,0.0,0.0,0.07389937106917932,0.0,0.0,0.0,0.1493710691823909,0.0,0.6965408805031446,-0.6729559748427671,0.0,-7.550239201295e-07
-0.6194968553459121,0.0,0.0,0.0,-0.18553459119496768,0.0,0.0,0.07389937106917954,0.0,0.0,0.0,0.14937106918239096,0.0,0.6965408805031448,0.0,0.6729559748427674,-7.550239201826493e-07
-0.6194968553459137,0.0,0.0,0.0,-0.185534591194968,0.0,0.0,0.0,0.10691823899371018,-0.08647798742138418,0.0,0.0,-0.6965408805031454,0.0,-0.672955974842766,0.0,-7.550239200947645e-07
-0.6194968553459126,0.0,0.0,0.0,-0.18553459119496815,0.0,0.0,0.0,0.1069182389937099,-0.08647798742138343,0.0,0.0,-0.6965408805031446,0.0,0.0,0.6729559748427685,-7.550239201536438e-07
-0.6194968553459125,0.0,0.0,0.0,-0.1855345911949679,0.0,0.0,0.0,0.10691823899371003,-0.08647798742138257,0.0,0.0,0.0,0.6965408805031442,-0.6729559748427668,0.0,-7.550239201660677e-07
-0.6194968553459135,0.0,0.0,0.0,-0.1855345911949676,0.0,0.0,0.0,0.10691823899370984,-0.08647798742138382,0.0,0.0,0.0,0.6965408805031452,0.0,0.6729559748427688,-7.550239201354156e-07
-0.6194968553459133,0.0,0.0,0.0,-0.18553459119496848,0.0,0.0,0.0,0.10691823899371075,0.0,-0.06289308176100616,0.0,-0.6965408805031447,0.0,-0.6729559748427678,0.0,-7.550239200720706e-07
-0.6194968553459127,0.0,0.0,0.0,-0.18553459119496896,0.0,0.0,0.0,0.10691823899371071,0.0,-0.06289308176100628,0.0,-0.6965408805031446,0.0,0.0,0.672955974842768,-7.550239201488345e-07
-0.6194968553459116,0.0,0.0,0.0,-0.18553459119496843,0.0,0.0,0.0,0.10691823899371042,0.0,-0.0628930817610065,0.0,0.0,0.6965408805031446,-0.6729559748427676,0.0,-7.550239201207299e-07
-0.6194968553459124,0.0,0.0,0.0,-0.18553459119496807,0.0,0.0,0.0,0.10691823899371078,0.0,-0.06289308176100583,0.0,0.0,0.6965408805031459,0.0,0.672955974842769,-7.55023920194794e-07
-0.6194968553459126,0.0,0.0,0.0,-0.18553459119496807,0.0,0.0,0.0,0.10691823899371032,0.0,0.0,0.14937106918239101,-0.6965408805031454,0.0,-0.6729559748427674,0.0,-7.550239200899705e-07
-0.6194968553459128,0.0,0.0,0.0,-0.18553459119496854,0.0,0.0,0.0,0.10691823899371038,0.0,0.0,0.14937106918239124,-0.6965408805031442,0.0,0.0,0.6729559748427686,-7.550239201366634e-07
-0.6194968553459139,0.0,0.0,0.0,-0.1855345911949686,0.0,0.0,0.0,0.10691823899371063,0.0,0.0,0.14937106918239135,0.0,0.6965408805031456,-0.6729559748427674,0.0,-7.550239201509528e-07
-0.6194968553459114,0.0,0.0,0.0,-0.18553459119496798,0.0,0.0,0.0,0.1069182389937107,0.0,0.0,0.14937106918239118,0.0,0.696540880503145,0.0,0.6729559748427685,-7.550239201104761e-07
-0.6194968553459118,0.0,0.0,0.0,0.0,0.5644654088050303,-0.18081761006289687,0.0,0.0,-0.0864779874213838,0.0,0.0,-0.6965408805031448,0.0,-0.6729559748427673,0.0,-7.550239200779083e-07
-0.619496855345913,0.0,0.0,0.0,0.0,0.5644654088050312,-0.18081761006289532,0.0,0.0,-0.08647798742138371,0.0,0.0,-0.6965408805031466,0.0,0.0,0.6729559748427689,-7.550239201292067e-07
-0.6194968553459115,0.0,0.0,0.0,0.0,0.5644654088050297,-0.18081761006289598,0.0,0.0,-0.08647798742138343,0.0,0.0,0.0,0.6965408805031448,-0.6729559748427669,0.0,-7.550239201489739e-07
-0.6194968553459135,0.0,0.0,0.0,0.0,0.5644654088050313,-0.18081761006289865,0.0,0.0,-0.08647798742138302,0.0,0.0,0.0,0.6965408805031443,0.0,0.6729559748427694,-7.550239201754196e-07
-0.6194968553459135,0.0,0.0,0.0,0.0,0.56446540880503,-0.18081761006289443,0.0,0.0,0.0,-0.06289308176100727,0.0,-0.6965408805031451,0.0,-0.6729559748427673,0.0,-7.550239200766604e-07
-0.6194968553459126,0.0,0.0,0.0,0.0,0.5644654088050296,-0.18081761006289399,0.0,0.0,0.0,-0.06289308176100616,0.0,-0.6965408805031457,0.0,0.0,0.6729559748427689,-7.550239201239731e-07
-0.6194968553459129,0.0,0.0,0.0,0.0,0.564465408805032,-0.18081761006289465,0.0,0.0,0.0,-0.06289308176100683,0.0,0.0,0.6965408805031437,-0.6729559748427671,0.0,-7.550239201112085e-07
-0.6194968553459128,0.0,0.0,0.0,0.0,0.564465408805031,-0.18081761006289487,0.0,0.0,0.0,-0.06289308176100639,0.0,0.0,0.696540880503145,0.0,0.6729559748427685,-7.550239201712344e-07
-0.6194968553459128,0.0,0.0,0.0,0.0,0.5644654088050303,-0.18081761006289576,0.0,0.0,0.0,0.0,0.14937106918239085,-0.696540880503145,0.0,-0.6729559748427668,0.0,-7.550239200852496e-07
-0.6194968553459131,0.0,0.0,0.0,0.0,0.5644654088050292,-0.1808176100628982,0.0,0.0,0.0,0.0,0.14937106918239074,-0.6965408805031451,0.0,0.0,0.6729559748427688,-7.550239201243266e-07
-0.6194968553459121,0.0,0.0,0.0,0.0,0.564465408805031,-0.18081761006289532,0.0,0.0,0.0,0.0,0.14937106918239074,0.0,0.6965408805031456,-0.6729559748427655,0.0,-7.550239201448063e-07
-0.6194968553459121,0.0,0.0,0.0,0.0,0.5644654088050283,-0.18081761006289865,0.0,0.0,0.0,0.0,0.14937106918239085,0.0,0.6965408805031446,0.0,0.6729559748427684,-7.550239201190637e-07
-0.6194968553459126,0.0,0.0,0.0,0.0,0.5644654088050314,0.0,0.07389937106918154,0.0,-0.08647798742138402,0.0,0.0,-0.696540880503145,0.0,-0.672955974842768,0.0,-7.550239201000031e-07
-0.6194968553459114,0.0,0.0,0.0,0.0,0.5644654088050324,0.0,0.07389937106918243,0.0,-0.08647798742138435,0.0,0.0,-0.696540880503144,0.0,0.0,0.6729559748427678,-7.55023920134366e-07
-0.619496855345913,0.0,0.0,0.0,0.0,0.5644654088050322,0.0,0.07389937106918043,0.0,-0.08647798742138324,0.0,0.0,0.0,0.6965408805031447,-0.6729559748427671,0.0,-7.550239201022525e-07
